startstation,endstation,trips
South Van Ness at Market,Mechanics Plaza (Market at Battery),93
Yerba Buena Center of the Arts (3rd @ Howard),Spear at Folsom,93
Post at Kearney,Spear at Folsom,93
Mechanics Plaza (Market at Battery),Spear at Folsom,92
San Francisco Caltrain (Townsend at 4th),San Francisco City Hall,92
Market at 4th,Clay at Battery,92
Market at 10th,Washington at Kearney,92
Commercial at Montgomery,Post at Kearney,92
Harry Bridges Plaza (Ferry Building),Howard at 2nd,92
Harry Bridges Plaza (Ferry Building),5th at Howard,92
2nd at Townsend,Market at 4th,92
Grant Avenue at Columbus Avenue,Davis at Jackson,91
Embarcadero at Sansome,Golden Gate at Polk,91
Market at Sansome,Townsend at 7th,91
Temporary Transbay Terminal (Howard at Beale),Civic Center BART (7th at Market),91
Embarcadero at Folsom,2nd at South Park,91
Rengstorff Avenue / California Street,Mountain View Caltrain Station,90
Japantown,Japantown,90
2nd at Folsom,Grant Avenue at Columbus Avenue,90
Mechanics Plaza (Market at Battery),Embarcadero at Bryant,90
MLK Library,SJSU - San Salvador at 9th,90
Market at 10th,San Francisco Caltrain 2 (330 Townsend),90
Embarcadero at Bryant,Howard at 2nd,90
Market at 4th,Howard at 2nd,90
Clay at Battery,Howard at 2nd,90
Yerba Buena Center of the Arts (3rd @ Howard),Steuart at Market,89
Washington at Kearney,Washington at Kearney,89
Market at 10th,5th at Howard,89
Spear at Folsom,Townsend at 7th,89
Post at Kearney,2nd at Townsend,89
Market at 4th,Embarcadero at Vallejo,89
Market at 10th,South Van Ness at Market,88
Palo Alto Caltrain Station,Palo Alto Caltrain Station,88
Market at 4th,Commercial at Montgomery,88
Powell Street BART,Steuart at Market,88
Embarcadero at Sansome,Yerba Buena Center of the Arts (3rd @ Howard),87
Mechanics Plaza (Market at Battery),Mechanics Plaza (Market at Battery),86
Davis at Jackson,Grant Avenue at Columbus Avenue,86
Harry Bridges Plaza (Ferry Building),Clay at Battery,86
SJSU - San Salvador at 9th,SJSU 4th at San Carlos,85
Steuart at Market,Market at Sansome,85
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Bryant,85
5th at Howard,Market at 4th,85
Howard at 2nd,Howard at 2nd,85
Embarcadero at Vallejo,Market at 4th,85
Commercial at Montgomery,Mechanics Plaza (Market at Battery),85
Market at 10th,Harry Bridges Plaza (Ferry Building),84
Post at Kearney,San Francisco Caltrain 2 (330 Townsend),84
Market at 4th,Washington at Kearney,84
Mechanics Plaza (Market at Battery),South Van Ness at Market,84
5th at Howard,Steuart at Market,84
Market at 10th,Powell at Post (Union Square),84
Market at Sansome,Embarcadero at Vallejo,83
Redwood City Medical Center,Redwood City Caltrain Station,83
Spear at Folsom,Beale at Market,83
2nd at South Park,Powell at Post (Union Square),82
Beale at Market,Embarcadero at Bryant,82
Spear at Folsom,Howard at 2nd,82
Spear at Folsom,Davis at Jackson,82
San Jose Civic Center,San Jose Civic Center,82
Powell at Post (Union Square),Davis at Jackson,82
Mechanics Plaza (Market at Battery),Powell at Post (Union Square),82
Powell at Post (Union Square),Beale at Market,82
5th at Howard,Powell Street BART,82
5th at Howard,Harry Bridges Plaza (Ferry Building),82
Temporary Transbay Terminal (Howard at Beale),Grant Avenue at Columbus Avenue,82
Clay at Battery,Market at Sansome,82
Post at Kearney,2nd at Folsom,81
Palo Alto Caltrain Station,California Ave Caltrain Station,81
Temporary Transbay Terminal (Howard at Beale),2nd at Folsom,81
San Pedro Square,Japantown,81
Townsend at 7th,Post at Kearney,81
Civic Center BART (7th at Market),2nd at South Park,81
San Jose Civic Center,San Jose Diridon Caltrain Station,81
Clay at Battery,Grant Avenue at Columbus Avenue,81
Grant Avenue at Columbus Avenue,2nd at Townsend,81
SJSU 4th at San Carlos,SJSU - San Salvador at 9th,81
San Francisco Caltrain 2 (330 Townsend),Spear at Folsom,81
Embarcadero at Vallejo,Grant Avenue at Columbus Avenue,81
Temporary Transbay Terminal (Howard at Beale),Beale at Market,81
Spear at Folsom,Embarcadero at Bryant,80
Golden Gate at Polk,Embarcadero at Vallejo,80
South Van Ness at Market,Temporary Transbay Terminal (Howard at Beale),80
Harry Bridges Plaza (Ferry Building),Washington at Kearney,80
2nd at South Park,Powell Street BART,80
Steuart at Market,Davis at Jackson,80
Powell at Post (Union Square),2nd at Folsom,79
San Francisco Caltrain 2 (330 Townsend),San Francisco Caltrain 2 (330 Townsend),79
Davis at Jackson,Temporary Transbay Terminal (Howard at Beale),79
Post at Kearney,Steuart at Market,79
San Salvador at 1st,San Jose Diridon Caltrain Station,79
San Antonio Caltrain Station,Rengstorff Avenue / California Street,79
San Francisco Caltrain 2 (330 Townsend),Golden Gate at Polk,79
Clay at Battery,Powell Street BART,79
Temporary Transbay Terminal (Howard at Beale),South Van Ness at Market,78
Temporary Transbay Terminal (Howard at Beale),Mechanics Plaza (Market at Battery),78
Clay at Battery,Powell at Post (Union Square),78
Market at Sansome,Embarcadero at Bryant,78
Howard at 2nd,Townsend at 7th,78
Commercial at Montgomery,Commercial at Montgomery,78
2nd at South Park,2nd at Townsend,77
Civic Center BART (7th at Market),Clay at Battery,77
Commercial at Montgomery,Embarcadero at Sansome,77
Santa Clara at Almaden,SJSU 4th at San Carlos,77
Davis at Jackson,Powell Street BART,77
2nd at Folsom,Howard at 2nd,77
Civic Center BART (7th at Market),Steuart at Market,77
5th at Howard,2nd at South Park,76
Davis at Jackson,Market at 4th,76
Washington at Kearney,Market at 10th,76
Embarcadero at Folsom,Howard at 2nd,76
Powell at Post (Union Square),San Francisco Caltrain 2 (330 Townsend),75
Redwood City Caltrain Station,Redwood City Public Library,75
2nd at Townsend,2nd at South Park,75
Townsend at 7th,Market at 10th,75
Embarcadero at Bryant,Market at Sansome,75
Harry Bridges Plaza (Ferry Building),Yerba Buena Center of the Arts (3rd @ Howard),75
Civic Center BART (7th at Market),5th at Howard,74
2nd at South Park,Washington at Kearney,74
San Francisco City Hall,Post at Kearney,74
Davis at Jackson,Howard at 2nd,74
2nd at Folsom,2nd at Folsom,74
San Jose Diridon Caltrain Station,San Jose Civic Center,74
San Jose City Hall,MLK Library,74
Embarcadero at Folsom,Mechanics Plaza (Market at Battery),74
Market at Sansome,Beale at Market,73
San Francisco City Hall,South Van Ness at Market,73
Powell at Post (Union Square),Mechanics Plaza (Market at Battery),73
California Ave Caltrain Station,University and Emerson,73
Market at 4th,Golden Gate at Polk,73
Commercial at Montgomery,Howard at 2nd,73
Golden Gate at Polk,Post at Kearney,73
San Jose Diridon Caltrain Station,San Salvador at 1st,72
California Ave Caltrain Station,California Ave Caltrain Station,72
Beale at Market,Beale at Market,72
Powell Street BART,5th at Howard,72
Davis at Jackson,Mechanics Plaza (Market at Battery),72
2nd at Townsend,Clay at Battery,72
Golden Gate at Polk,Powell Street BART,72
Grant Avenue at Columbus Avenue,South Van Ness at Market,72
Powell at Post (Union Square),Market at Sansome,72
South Van Ness at Market,Golden Gate at Polk,71
Washington at Kearney,Powell Street BART,71
Market at 10th,2nd at South Park,71
Mechanics Plaza (Market at Battery),Washington at Kearney,71
Civic Center BART (7th at Market),Harry Bridges Plaza (Ferry Building),71
Howard at 2nd,Powell at Post (Union Square),71
Steuart at Market,Powell at Post (Union Square),71
South Van Ness at Market,San Francisco Caltrain 2 (330 Townsend),71
Post at Kearney,Powell Street BART,71
Beale at Market,Powell Street BART,71
Temporary Transbay Terminal (Howard at Beale),Post at Kearney,70
Market at Sansome,Embarcadero at Folsom,70
Powell Street BART,Market at 4th,70
Golden Gate at Polk,Steuart at Market,70
Davis at Jackson,2nd at Townsend,70
2nd at Folsom,Civic Center BART (7th at Market),70
Steuart at Market,Powell Street BART,69
South Van Ness at Market,Commercial at Montgomery,69
Palo Alto Caltrain Station,Park at Olive,69
Yerba Buena Center of the Arts (3rd @ Howard),Grant Avenue at Columbus Avenue,69
2nd at South Park,Beale at Market,69
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,69
Temporary Transbay Terminal (Howard at Beale),Davis at Jackson,68
Spear at Folsom,Commercial at Montgomery,68
5th at Howard,Commercial at Montgomery,68
Paseo de San Antonio,SJSU - San Salvador at 9th,68
Paseo de San Antonio,San Salvador at 1st,68
Japantown,San Pedro Square,68
Spear at Folsom,Post at Kearney,68
Post at Kearney,Temporary Transbay Terminal (Howard at Beale),68
Clay at Battery,Civic Center BART (7th at Market),68
2nd at South Park,Embarcadero at Folsom,67
Powell at Post (Union Square),Civic Center BART (7th at Market),67
Townsend at 7th,2nd at South Park,67
San Jose City Hall,San Jose City Hall,67
Mechanics Plaza (Market at Battery),2nd at Townsend,67
Washington at Kearney,Market at Sansome,67
2nd at South Park,Market at 10th,67
California Ave Caltrain Station,Palo Alto Caltrain Station,67
Spear at Folsom,Temporary Transbay Terminal (Howard at Beale),66
Commercial at Montgomery,Grant Avenue at Columbus Avenue,66
Civic Center BART (7th at Market),Temporary Transbay Terminal (Howard at Beale),66
Arena Green / SAP Center,Arena Green / SAP Center,66
Spear at Folsom,Grant Avenue at Columbus Avenue,66
Davis at Jackson,Commercial at Montgomery,66
Post at Kearney,Howard at 2nd,66
Grant Avenue at Columbus Avenue,Commercial at Montgomery,66
Howard at 2nd,Clay at Battery,66
Mechanics Plaza (Market at Battery),5th at Howard,66
Arena Green / SAP Center,San Pedro Square,66
Mechanics Plaza (Market at Battery),San Francisco Caltrain 2 (330 Townsend),66
Steuart at Market,Townsend at 7th,65
SJSU - San Salvador at 9th,Paseo de San Antonio,65
Townsend at 7th,Embarcadero at Bryant,65
Spear at Folsom,Market at Sansome,65
Embarcadero at Folsom,Townsend at 7th,65
Powell Street BART,Embarcadero at Vallejo,64
2nd at Folsom,Embarcadero at Sansome,64
Howard at 2nd,Spear at Folsom,64
South Van Ness at Market,2nd at Townsend,64
Embarcadero at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),64
Market at 4th,5th at Howard,64
Beale at Market,Grant Avenue at Columbus Avenue,63
Commercial at Montgomery,5th at Howard,63
Golden Gate at Polk,Market at Sansome,63
Spear at Folsom,Powell Street BART,63
Davis at Jackson,Powell at Post (Union Square),63
5th at Howard,2nd at Folsom,63
Market at 4th,Powell Street BART,63
MLK Library,MLK Library,62
Davis at Jackson,Harry Bridges Plaza (Ferry Building),62
Post at Kearney,Commercial at Montgomery,62
South Van Ness at Market,Spear at Folsom,62
Davis at Jackson,San Francisco Caltrain 2 (330 Townsend),62
Steuart at Market,Market at 10th,62
Yerba Buena Center of the Arts (3rd @ Howard),2nd at Townsend,62
Yerba Buena Center of the Arts (3rd @ Howard),South Van Ness at Market,61
Clay at Battery,Embarcadero at Folsom,61
Commercial at Montgomery,Powell at Post (Union Square),61
Beale at Market,Howard at 2nd,61
Golden Gate at Polk,Golden Gate at Polk,61
Powell Street BART,Grant Avenue at Columbus Avenue,61
San Pedro Square,San Pedro Square,61
San Francisco Caltrain 2 (330 Townsend),Mechanics Plaza (Market at Battery),61
Embarcadero at Folsom,Embarcadero at Vallejo,61
2nd at South Park,South Van Ness at Market,61
San Francisco Caltrain 2 (330 Townsend),Post at Kearney,61
Howard at 2nd,Post at Kearney,60
MLK Library,San Jose Diridon Caltrain Station,60
Mountain View City Hall,Mountain View City Hall,60
2nd at Folsom,Embarcadero at Bryant,60
Civic Center BART (7th at Market),Powell at Post (Union Square),60
MLK Library,Japantown,60
Civic Center BART (7th at Market),2nd at Folsom,60
San Francisco Caltrain 2 (330 Townsend),2nd at South Park,60
San Salvador at 1st,San Salvador at 1st,60
Commercial at Montgomery,Spear at Folsom,60
Mechanics Plaza (Market at Battery),Grant Avenue at Columbus Avenue,60
Steuart at Market,Civic Center BART (7th at Market),59
Clay at Battery,Embarcadero at Bryant,59
Post at Kearney,Post at Kearney,59
SJSU 4th at San Carlos,Santa Clara at Almaden,59
Steuart at Market,Temporary Transbay Terminal (Howard at Beale),59
2nd at Townsend,South Van Ness at Market,59
2nd at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),59
San Antonio Shopping Center,San Antonio Caltrain Station,59
South Van Ness at Market,Harry Bridges Plaza (Ferry Building),58
Commercial at Montgomery,Embarcadero at Folsom,58
Embarcadero at Folsom,Davis at Jackson,58
Washington at Kearney,Beale at Market,58
Civic Center BART (7th at Market),San Francisco City Hall,58
Grant Avenue at Columbus Avenue,2nd at South Park,58
Post at Kearney,5th at Howard,58
Embarcadero at Sansome,5th at Howard,58
Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Sansome,58
San Pedro Square,Paseo de San Antonio,58
Post at Kearney,Golden Gate at Polk,58
Mechanics Plaza (Market at Battery),Embarcadero at Folsom,57
Embarcadero at Bryant,Davis at Jackson,57
Powell at Post (Union Square),Powell Street BART,57
Howard at 2nd,Yerba Buena Center of the Arts (3rd @ Howard),57
Market at 10th,Grant Avenue at Columbus Avenue,57
SJSU - San Salvador at 9th,MLK Library,56
San Francisco City Hall,Market at Sansome,56
5th at Howard,Embarcadero at Sansome,56
San Jose City Hall,Paseo de San Antonio,56
Powell Street BART,Post at Kearney,56
Clay at Battery,Spear at Folsom,56
Redwood City Caltrain Station,Franklin at Maple,56
Market at 4th,Embarcadero at Bryant,56
Yerba Buena Center of the Arts (3rd @ Howard),Temporary Transbay Terminal (Howard at Beale),56
Harry Bridges Plaza (Ferry Building),South Van Ness at Market,56
Commercial at Montgomery,Yerba Buena Center of the Arts (3rd @ Howard),56
Grant Avenue at Columbus Avenue,Yerba Buena Center of the Arts (3rd @ Howard),56
Market at 10th,Beale at Market,56
St James Park,San Pedro Square,55
Embarcadero at Bryant,Temporary Transbay Terminal (Howard at Beale),55
Powell at Post (Union Square),Washington at Kearney,55
Harry Bridges Plaza (Ferry Building),Beale at Market,55
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Sansome,55
Townsend at 7th,Powell at Post (Union Square),55
Post at Kearney,Townsend at 7th,55
Beale at Market,Embarcadero at Folsom,55
Golden Gate at Polk,Yerba Buena Center of the Arts (3rd @ Howard),55
Yerba Buena Center of the Arts (3rd @ Howard),Townsend at 7th,55
Spear at Folsom,Clay at Battery,55
Powell at Post (Union Square),Post at Kearney,55
Japantown,Paseo de San Antonio,54
Harry Bridges Plaza (Ferry Building),Embarcadero at Folsom,54
Embarcadero at Bryant,Yerba Buena Center of the Arts (3rd @ Howard),54
Post at Kearney,San Francisco City Hall,54
Clay at Battery,San Francisco Caltrain 2 (330 Townsend),54
Harry Bridges Plaza (Ferry Building),San Francisco City Hall,54
Embarcadero at Vallejo,Powell Street BART,54
Market at 10th,2nd at Townsend,54
Powell Street BART,Clay at Battery,54
Rengstorff Avenue / California Street,Rengstorff Avenue / California Street,54
Townsend at 7th,Spear at Folsom,53
Howard at 2nd,Grant Avenue at Columbus Avenue,53
Clay at Battery,2nd at Folsom,53
Market at 4th,San Francisco City Hall,53
Market at Sansome,Powell at Post (Union Square),53
2nd at Townsend,Powell at Post (Union Square),53
Embarcadero at Vallejo,Powell at Post (Union Square),53
Civic Center BART (7th at Market),Embarcadero at Vallejo,53
Paseo de San Antonio,MLK Library,53
Embarcadero at Folsom,Market at 4th,53
Powell at Post (Union Square),Golden Gate at Polk,53
Powell at Post (Union Square),Market at 4th,52
Market at 10th,Temporary Transbay Terminal (Howard at Beale),52
Commercial at Montgomery,2nd at South Park,52
Grant Avenue at Columbus Avenue,Howard at 2nd,52
Harry Bridges Plaza (Ferry Building),Civic Center BART (7th at Market),52
Clay at Battery,Beale at Market,52
Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Folsom,52
Embarcadero at Vallejo,Mechanics Plaza (Market at Battery),52
Market at 10th,Howard at 2nd,52
Powell Street BART,Howard at 2nd,52
Grant Avenue at Columbus Avenue,Civic Center BART (7th at Market),52
5th at Howard,Mechanics Plaza (Market at Battery),52
Washington at Kearney,San Francisco Caltrain 2 (330 Townsend),51
Powell at Post (Union Square),Clay at Battery,51
Embarcadero at Folsom,Grant Avenue at Columbus Avenue,51
South Van Ness at Market,San Francisco City Hall,51
Grant Avenue at Columbus Avenue,Embarcadero at Bryant,51
Market at Sansome,Howard at 2nd,51
Beale at Market,Market at 10th,51
Clay at Battery,Yerba Buena Center of the Arts (3rd @ Howard),51
Embarcadero at Vallejo,Embarcadero at Folsom,51
Post at Kearney,Powell at Post (Union Square),51
2nd at South Park,Mechanics Plaza (Market at Battery),51
Powell at Post (Union Square),Yerba Buena Center of the Arts (3rd @ Howard),51
Market at Sansome,Washington at Kearney,51
Commercial at Montgomery,South Van Ness at Market,51
Golden Gate at Polk,Beale at Market,51
Spear at Folsom,Washington at Kearney,50
Townsend at 7th,2nd at Folsom,50
Evelyn Park and Ride,Evelyn Park and Ride,50
Golden Gate at Polk,Market at 10th,50
Post at Kearney,Civic Center BART (7th at Market),50
Steuart at Market,Post at Kearney,50
Embarcadero at Vallejo,Civic Center BART (7th at Market),50
Howard at 2nd,Embarcadero at Vallejo,50
5th at Howard,Howard at 2nd,50
Embarcadero at Folsom,Market at Sansome,50
2nd at South Park,Grant Avenue at Columbus Avenue,50
Commercial at Montgomery,2nd at Folsom,50
Franklin at Maple,Redwood City Caltrain Station,50
5th at Howard,Post at Kearney,50
2nd at Folsom,Powell at Post (Union Square),50
Powell Street BART,Washington at Kearney,50
Yerba Buena Center of the Arts (3rd @ Howard),Civic Center BART (7th at Market),50
Golden Gate at Polk,5th at Howard,49
Japantown,MLK Library,49
San Francisco City Hall,San Francisco Caltrain 2 (330 Townsend),49
Mechanics Plaza (Market at Battery),Yerba Buena Center of the Arts (3rd @ Howard),49
Powell Street BART,Beale at Market,49
Market at Sansome,San Francisco City Hall,49
Howard at 2nd,Market at 10th,49
Grant Avenue at Columbus Avenue,Townsend at 7th,49
South Van Ness at Market,Yerba Buena Center of the Arts (3rd @ Howard),49
Washington at Kearney,Steuart at Market,48
Steuart at Market,South Van Ness at Market,48
Embarcadero at Vallejo,Davis at Jackson,48
2nd at Folsom,Beale at Market,48
Powell at Post (Union Square),South Van Ness at Market,48
Paseo de San Antonio,San Pedro Square,48
Civic Center BART (7th at Market),Post at Kearney,48
Golden Gate at Polk,Embarcadero at Sansome,48
San Pedro Square,MLK Library,48
Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Bryant,48
Japantown,Santa Clara at Almaden,48
Howard at 2nd,Civic Center BART (7th at Market),48
San Antonio Caltrain Station,San Antonio Shopping Center,48
Powell Street BART,Mechanics Plaza (Market at Battery),48
Rengstorff Avenue / California Street,San Antonio Caltrain Station,48
Howard at 2nd,Commercial at Montgomery,47
Davis at Jackson,Embarcadero at Bryant,47
2nd at Folsom,Commercial at Montgomery,47
Cowper at University,Cowper at University,47
Davis at Jackson,Embarcadero at Vallejo,46
Embarcadero at Folsom,Commercial at Montgomery,46
San Francisco City Hall,Harry Bridges Plaza (Ferry Building),46
Embarcadero at Bryant,Beale at Market,46
Washington at Kearney,Market at 4th,46
Embarcadero at Folsom,Powell Street BART,46
University and Emerson,California Ave Caltrain Station,46
Powell at Post (Union Square),Embarcadero at Vallejo,46
San Francisco Caltrain 2 (330 Townsend),Powell at Post (Union Square),46
Civic Center BART (7th at Market),San Francisco Caltrain 2 (330 Townsend),46
MLK Library,Paseo de San Antonio,46
Steuart at Market,Clay at Battery,46
Mechanics Plaza (Market at Battery),Market at Sansome,46
University and Emerson,Cowper at University,46
Beale at Market,Powell at Post (Union Square),46
Harry Bridges Plaza (Ferry Building),Market at 10th,46
San Francisco Caltrain 2 (330 Townsend),Washington at Kearney,46
Park at Olive,University and Emerson,45
Grant Avenue at Columbus Avenue,Embarcadero at Vallejo,45
Washington at Kearney,Grant Avenue at Columbus Avenue,45
Post at Kearney,Market at 4th,45
Market at 10th,Commercial at Montgomery,45
2nd at South Park,Clay at Battery,45
Yerba Buena Center of the Arts (3rd @ Howard),Powell Street BART,45
South Van Ness at Market,Beale at Market,45
2nd at Townsend,Market at 10th,44
Townsend at 7th,Steuart at Market,44
Market at 4th,Powell at Post (Union Square),44
Townsend at 7th,Embarcadero at Vallejo,44
2nd at Townsend,Davis at Jackson,44
South Van Ness at Market,Powell at Post (Union Square),44
Washington at Kearney,Embarcadero at Bryant,44
San Francisco Caltrain 2 (330 Townsend),Clay at Battery,43
Clay at Battery,Embarcadero at Vallejo,43
Mechanics Plaza (Market at Battery),Embarcadero at Vallejo,43
University and Emerson,Park at Olive,43
San Salvador at 1st,SJSU 4th at San Carlos,43
Davis at Jackson,Post at Kearney,43
Powell Street BART,Spear at Folsom,43
Grant Avenue at Columbus Avenue,Washington at Kearney,43
Townsend at 7th,Embarcadero at Folsom,43
Clay at Battery,Market at 10th,43
South Van Ness at Market,Embarcadero at Folsom,43
2nd at South Park,Embarcadero at Sansome,43
Park at Olive,Palo Alto Caltrain Station,43
San Salvador at 1st,San Jose City Hall,42
Spear at Folsom,Powell at Post (Union Square),42
Powell at Post (Union Square),2nd at Townsend,42
San Francisco Caltrain 2 (330 Townsend),Commercial at Montgomery,42
Steuart at Market,5th at Howard,42
Clay at Battery,Post at Kearney,42
Townsend at 7th,Yerba Buena Center of the Arts (3rd @ Howard),42
Washington at Kearney,Powell at Post (Union Square),42
Yerba Buena Center of the Arts (3rd @ Howard),Powell at Post (Union Square),42
Yerba Buena Center of the Arts (3rd @ Howard),Commercial at Montgomery,42
Clay at Battery,Davis at Jackson,42
Japantown,San Jose City Hall,42
SJSU - San Salvador at 9th,SJSU - San Salvador at 9th,42
Davis at Jackson,Steuart at Market,42
Beale at Market,Civic Center BART (7th at Market),42
San Salvador at 1st,Paseo de San Antonio,42
MLK Library,San Jose City Hall,42
Embarcadero at Folsom,5th at Howard,41
San Francisco Caltrain 2 (330 Townsend),Davis at Jackson,41
Washington at Kearney,San Francisco Caltrain (Townsend at 4th),41
2nd at Townsend,Powell Street BART,41
Embarcadero at Vallejo,San Francisco Caltrain 2 (330 Townsend),41
Post at Kearney,Davis at Jackson,41
Paseo de San Antonio,Paseo de San Antonio,41
Spear at Folsom,Civic Center BART (7th at Market),41
Mountain View Caltrain Station,San Antonio Caltrain Station,41
Redwood City Caltrain Station,Redwood City Caltrain Station,41
Mechanics Plaza (Market at Battery),2nd at South Park,41
Redwood City Caltrain Station,San Mateo County Center,41
Clay at Battery,Steuart at Market,41
Powell Street BART,2nd at South Park,40
San Pedro Square,St James Park,40
2nd at Townsend,Commercial at Montgomery,40
Clay at Battery,Townsend at 7th,40
Civic Center BART (7th at Market),Yerba Buena Center of the Arts (3rd @ Howard),40
Powell at Post (Union Square),Spear at Folsom,40
Rengstorff Avenue / California Street,Mountain View City Hall,40
Steuart at Market,2nd at Folsom,40
Washington at Kearney,Mechanics Plaza (Market at Battery),40
Post at Kearney,Clay at Battery,40
5th at Howard,Powell at Post (Union Square),40
Steuart at Market,Golden Gate at Polk,40
Beale at Market,Post at Kearney,40
Mechanics Plaza (Market at Battery),Post at Kearney,40
Market at 4th,Embarcadero at Folsom,39
Civic Center BART (7th at Market),Beale at Market,39
Powell at Post (Union Square),5th at Howard,39
Howard at 2nd,Beale at Market,39
Mechanics Plaza (Market at Battery),Clay at Battery,39
Clay at Battery,5th at Howard,38
Beale at Market,Market at Sansome,38
San Jose City Hall,Japantown,38
Market at 10th,Spear at Folsom,38
South Van Ness at Market,Grant Avenue at Columbus Avenue,38
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Bryant,38
2nd at Folsom,Mechanics Plaza (Market at Battery),38
Clay at Battery,2nd at South Park,38
2nd at Townsend,5th at Howard,38
Embarcadero at Vallejo,Howard at 2nd,37
2nd at Folsom,Davis at Jackson,37
2nd at Folsom,Washington at Kearney,37
Embarcadero at Bryant,2nd at Folsom,37
South Van Ness at Market,Washington at Kearney,37
Market at 4th,Post at Kearney,37
San Francisco Caltrain 2 (330 Townsend),San Francisco Caltrain (Townsend at 4th),37
Washington at Kearney,Post at Kearney,37
Cowper at University,California Ave Caltrain Station,37
Embarcadero at Sansome,Market at 10th,37
San Francisco City Hall,Powell at Post (Union Square),37
Yerba Buena Center of the Arts (3rd @ Howard),2nd at Folsom,37
5th at Howard,Yerba Buena Center of the Arts (3rd @ Howard),37
Davis at Jackson,2nd at South Park,37
Market at Sansome,Golden Gate at Polk,37
5th at Howard,Clay at Battery,37
Yerba Buena Center of the Arts (3rd @ Howard),Post at Kearney,37
Powell Street BART,Powell at Post (Union Square),36
Temporary Transbay Terminal (Howard at Beale),Steuart at Market,36
Yerba Buena Center of the Arts (3rd @ Howard),Clay at Battery,36
Yerba Buena Center of the Arts (3rd @ Howard),Mechanics Plaza (Market at Battery),36
Beale at Market,South Van Ness at Market,36
San Salvador at 1st,SJSU - San Salvador at 9th,36
Embarcadero at Vallejo,South Van Ness at Market,36
Townsend at 7th,Howard at 2nd,36
Embarcadero at Bryant,Washington at Kearney,36
San Jose Diridon Caltrain Station,SJSU 4th at San Carlos,36
Market at 10th,Embarcadero at Sansome,36
Embarcadero at Vallejo,Market at Sansome,35
Beale at Market,Washington at Kearney,35
Embarcadero at Bryant,Grant Avenue at Columbus Avenue,35
San Salvador at 1st,San Pedro Square,35
Market at 10th,2nd at Folsom,35
Embarcadero at Sansome,2nd at Folsom,35
SJSU - San Salvador at 9th,San Salvador at 1st,35
San Jose City Hall,SJSU 4th at San Carlos,35
Post at Kearney,Beale at Market,35
SJSU 4th at San Carlos,SJSU 4th at San Carlos,35
2nd at South Park,Davis at Jackson,35
2nd at Folsom,Embarcadero at Folsom,35
Powell Street BART,Yerba Buena Center of the Arts (3rd @ Howard),35
San Jose City Hall,San Pedro Square,35
Embarcadero at Vallejo,Yerba Buena Center of the Arts (3rd @ Howard),34
Howard at 2nd,Embarcadero at Folsom,34
Howard at 2nd,Temporary Transbay Terminal (Howard at Beale),34
Powell at Post (Union Square),Commercial at Montgomery,34
Powell at Post (Union Square),Temporary Transbay Terminal (Howard at Beale),34
San Mateo County Center,Redwood City Caltrain Station,34
Powell Street BART,2nd at Townsend,34
Temporary Transbay Terminal (Howard at Beale),Powell at Post (Union Square),34
MLK Library,San Salvador at 1st,34
Santa Clara at Almaden,Santa Clara at Almaden,34
South Van Ness at Market,Clay at Battery,34
Yerba Buena Center of the Arts (3rd @ Howard),Beale at Market,34
Commercial at Montgomery,San Francisco Caltrain 2 (330 Townsend),34
Embarcadero at Bryant,Market at 4th,34
Commercial at Montgomery,Clay at Battery,34
Market at 10th,Golden Gate at Polk,34
Spear at Folsom,South Van Ness at Market,34
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Vallejo,34
